date,gbp
05/05/2022,18.6283
06/05/2022,18.6394
09/05/2022,18.4349
10/05/2022,18.495
11/05/2022,18.8026
12/05/2022,18.9545
13/05/2022,18.7892
16/05/2022,18.902
17/05/2022,19.1159
18/05/2022,19.7229
20/05/2022,19.8211
23/05/2022,19.9406
24/05/2022,19.9938
25/05/2022,20.2165
26/05/2022,20.4314
27/05/2022,20.6794
30/05/2022,20.691
31/05/2022,20.7414
01/06/2022,20.7195
02/06/2022,20.7311
03/06/2022,20.6855
06/06/2022,20.7837
07/06/2022,20.8664
08/06/2022,20.9409
09/06/2022,21.5163
10/06/2022,21.612
13/06/2022,21.333
14/06/2022,21.1237
15/06/2022,20.9728
16/06/2022,20.9094
17/06/2022,21.0383
20/06/2022,21.3254
21/06/2022,21.2714
22/06/2022,21.3535
23/06/2022,21.2698
24/06/2022,21.2534
27/06/2022,21.3805
28/06/2022,20.5311
29/06/2022,20.4503
30/06/2022,20.3583
01/07/2022,20.2804
04/07/2022,20.2682
05/07/2022,20.4371
06/07/2022,20.4799
07/07/2022,20.588
08/07/2022,20.7343
13/07/2022,20.7343
14/07/2022,20.7838
18/07/2022,20.7513
19/07/2022,20.9515
20/07/2022,21.1438
21/07/2022,21.1406
22/07/2022,21.1381
25/07/2022,21.2484
26/07/2022,21.4876
27/07/2022,21.5093
28/07/2022,21.6232
29/07/2022,21.833
01/08/2022,21.8805
02/08/2022,21.9871
03/08/2022,21.9713
04/08/2022,21.9223
05/08/2022,21.875
08/08/2022,21.8623
09/08/2022,21.7804
10/08/2022,21.7806
11/08/2022,21.7631
12/08/2022,21.9966
15/08/2022,21.8895
16/08/2022,21.764
17/08/2022,21.6656
18/08/2022,21.7854
19/08/2022,21.7189
22/08/2022,21.5446
23/08/2022,21.4448
24/08/2022,21.3689
25/08/2022,21.4613
26/08/2022,21.5581
29/08/2022,21.522
31/08/2022,21.2903
01/09/2022,21.2199
02/09/2022,21.1383
05/09/2022,21.1144
06/09/2022,21.0006
07/09/2022,21.1603
08/09/2022,20.9773
09/09/2022,21.0516
12/09/2022,21.2249
13/09/2022,21.3561
14/09/2022,21.4314
15/09/2022,21.1065
16/09/2022,21.0829
19/09/2022,20.8579
20/09/2022,20.8486
21/09/2022,20.9761
22/09/2022,20.8148
23/09/2022,20.7901
26/09/2022,20.5203
27/09/2022,19.8095
28/09/2022,19.9869
29/09/2022,19.7764
30/09/2022,20.1038
03/10/2022,20.6889
04/10/2022,20.8397
05/10/2022,21.1473
06/10/2022,21.2254
07/10/2022,21.0213
10/10/2022,20.8308
11/10/2022,20.6038
12/10/2022,20.5756
13/10/2022,20.5584
14/10/2022,20.7483
17/10/2022,20.9789
18/10/2022,21.0046
19/10/2022,21.0663
20/10/2022,20.9936
21/10/2022,20.9017
24/10/2022,20.767
25/10/2022,21.1209
26/10/2022,21.0964
27/10/2022,21.5592
28/10/2022,21.5994
31/10/2022,21.5994
01/11/2022,21.5731
02/11/2022,21.5258
03/11/2022,21.4674
04/11/2022,21.0753
07/11/2022,20.9258
08/11/2022,21.2552
09/11/2022,21.3883
10/11/2022,21.4253
11/11/2022,21.2246
14/11/2022,21.8148
15/11/2022,21.9733
16/11/2022,22.082
17/11/2022,22.1946
18/11/2022,22.1999
21/11/2022,22.2306
22/11/2022,22.0471
23/11/2022,22.1267
24/11/2022,22.2396
25/11/2022,22.5786
28/11/2022,22.5909
29/11/2022,22.5629
30/11/2022,22.4449
01/12/2022,22.4004
02/12/2022,22.6543
05/12/2022,22.9108
06/12/2022,22.9482
07/12/2022,22.7677
08/12/2022,22.6852
09/12/2022,22.7665
12/12/2022,22.8989
13/12/2022,22.9134
14/12/2022,22.9523
15/12/2022,23.1367
16/12/2022,23.0813
19/12/2022,22.7645
20/12/2022,22.8081
21/12/2022,22.7422
22/12/2022,22.7185
23/12/2022,22.6465
26/12/2022,22.5847
27/12/2022,22.6003
28/12/2022,22.6316
29/12/2022,22.5976
30/12/2022,22.5834
02/01/2023,22.6065
03/01/2023,22.6283
04/01/2023,22.4596
05/01/2023,22.6182
06/01/2023,22.6052
09/01/2023,22.343
10/01/2023,22.8546
11/01/2023,22.9006
12/01/2023,22.8546
13/01/2023,22.8918
16/01/2023,22.9942
17/01/2023,22.9977
18/01/2023,23.0051
19/01/2023,23.2394
20/01/2023,23.2435
23/01/2023,23.2853
24/01/2023,23.3682
25/01/2023,23.2866
26/01/2023,23.2118
27/01/2023,23.3671
30/01/2023,23.326
31/01/2023,23.3568
01/02/2023,23.2444
02/02/2023,23.2323
03/02/2023,23.2953
06/02/2023,23.0672
07/02/2023,22.7399
08/02/2023,22.6734
09/02/2023,22.8162
10/02/2023,22.8906
13/02/2023,22.8664
14/02/2023,22.7556
15/02/2023,22.9957
16/02/2023,22.8399
17/02/2023,22.7716
20/02/2023,22.5649
21/02/2023,22.753
22/02/2023,22.8029
23/02/2023,22.8712
24/02/2023,22.7865
27/02/2023,22.7339
28/02/2023,22.6447
01/03/2023,22.8567
02/03/2023,22.8379
03/03/2023,22.6775
06/03/2023,22.6813
07/03/2023,22.7773
08/03/2023,22.7882
09/03/2023,22.4597
10/03/2023,22.5476
13/03/2023,22.7347
14/03/2023,22.9859
15/03/2023,23.1269
16/03/2023,23.0587
17/03/2023,22.9832
20/03/2023,23.1289
21/03/2023,23.2623
22/03/2023,23.3521
23/03/2023,23.4085
24/03/2023,23.5008
27/03/2023,23.3776
28/03/2023,23.4477
29/03/2023,23.5706
30/03/2023,23.6522
31/03/2023,23.7174
03/04/2023,23.7836
04/04/2023,23.753
05/04/2023,24.0409
06/04/2023,24.0811
07/04/2023,24.0653
10/04/2023,24.0091
11/04/2023,23.9876
12/04/2023,24.0301
13/04/2023,24.0361
14/04/2023,24.2267
17/04/2023,24.2808
18/04/2023,24.0981
19/04/2023,24.172
20/04/2023,24.1769
24/04/2023,24.1769
25/04/2023,24.1951
26/04/2023,24.2515
27/04/2023,24.2754
28/04/2023,24.2825
02/05/2023,24.3089
03/05/2023,24.3476
04/05/2023,24.419
05/05/2023,24.5556
08/05/2023,24.6483
09/05/2023,24.728
10/05/2023,24.6743
11/05/2023,24.7096
12/05/2023,24.668
15/05/2023,24.5938
16/05/2023,24.6197
17/05/2023,24.7207
18/05/2023,24.6397
22/05/2023,24.6771
23/05/2023,24.732
24/05/2023,24.6742
25/05/2023,24.7272
26/05/2023,24.6931
29/05/2023,24.7508
30/05/2023,24.8381
31/05/2023,25.259
01/06/2023,25.636
02/06/2023,25.9161
05/06/2023,26.2125
06/06/2023,26.3077
07/06/2023,26.7403
08/06/2023,28.7345
09/06/2023,29.1661
12/06/2023,29.5102
13/06/2023,29.8101
14/06/2023,29.8111
15/06/2023,29.9145
16/06/2023,30.0226
19/06/2023,30.3581
20/06/2023,30.3909
21/06/2023,30.2257
22/06/2023,30.0801
23/06/2023,30.2792
26/06/2023,32.2181
27/06/2023,32.9786
03/07/2023,32.9786
04/07/2023,33.1074
05/07/2023,33.1484
06/07/2023,33.2135
07/07/2023,33.2915
10/07/2023,33.3044
11/07/2023,33.4753
12/07/2023,33.7478
13/07/2023,33.8761
14/07/2023,34.1966
17/07/2023,34.4004
18/07/2023,34.4652
19/07/2023,35.2564
20/07/2023,34.9111
21/07/2023,34.8276
24/07/2023,34.7067
25/07/2023,34.6949
26/07/2023,34.706
27/07/2023,34.8813
28/07/2023,35.0573
31/07/2023,34.6537
01/08/2023,34.7524
02/08/2023,34.6305
03/08/2023,34.5465
04/08/2023,34.2724
07/08/2023,34.3607
08/08/2023,34.4513
09/08/2023,34.4853
10/08/2023,34.5327
11/08/2023,34.5554
14/08/2023,34.4459
15/08/2023,34.4137
16/08/2023,34.4655
17/08/2023,34.5629
18/08/2023,34.5967
21/08/2023,34.5295
22/08/2023,34.6724
23/08/2023,34.843
24/08/2023,34.5649
25/08/2023,34.4935
28/08/2023,33.3645
29/08/2023,33.4991
31/08/2023,33.617
01/09/2023,33.9648
04/09/2023,33.9283
05/09/2023,33.8779
06/09/2023,33.72
07/09/2023,33.7375
08/09/2023,33.5415
11/09/2023,33.5879
12/09/2023,33.726
13/09/2023,33.6346
14/09/2023,33.661
15/09/2023,33.6975
