date,usd
05/05/2022,14.8118
06/05/2022,14.858
09/05/2022,14.9247
10/05/2022,15.001
11/05/2022,15.2199
12/05/2022,15.3157
13/05/2022,15.3802
16/05/2022,15.4656
17/05/2022,15.5919
18/05/2022,15.8171
20/05/2022,15.9492
23/05/2022,15.9536
24/05/2022,15.878
25/05/2022,16.1135
26/05/2022,16.2963
27/05/2022,16.3975
30/05/2022,16.3773
31/05/2022,16.3857
01/06/2022,16.4171
02/06/2022,16.4423
03/06/2022,16.4686
06/06/2022,16.5062
07/06/2022,16.5887
08/06/2022,16.7385
09/06/2022,17.1232
10/06/2022,17.2295
13/06/2022,17.0896
14/06/2022,17.2654
15/06/2022,17.2653
16/06/2022,17.2879
17/06/2022,17.3191
20/06/2022,17.3216
21/06/2022,17.3425
22/06/2022,17.348
23/06/2022,17.3613
24/06/2022,17.3782
27/06/2022,17.3791
28/06/2022,16.676
29/06/2022,16.6488
30/06/2022,16.6991
01/07/2022,16.6914
04/07/2022,16.7456
05/07/2022,16.8237
06/07/2022,16.9674
07/07/2022,17.2128
08/07/2022,17.2912
13/07/2022,17.2912
14/07/2022,17.4226
18/07/2022,17.4896
19/07/2022,17.495
20/07/2022,17.5741
21/07/2022,17.5922
22/07/2022,17.6599
25/07/2022,17.7429
26/07/2022,17.8331
27/07/2022,17.8656
28/07/2022,17.9023
29/07/2022,17.9367
01/08/2022,17.9261
02/08/2022,17.9577
03/08/2022,17.965
04/08/2022,17.9681
05/08/2022,17.9673
08/08/2022,17.9685
09/08/2022,17.9716
10/08/2022,17.9642
11/08/2022,17.9631
12/08/2022,17.9679
15/08/2022,17.9689
16/08/2022,17.9734
17/08/2022,17.9744
18/08/2022,17.9735
19/08/2022,18.0011
22/08/2022,18.1093
23/08/2022,18.1314
24/08/2022,18.1345
25/08/2022,18.1503
26/08/2022,18.1793
29/08/2022,18.1892
31/08/2022,18.1975
01/09/2022,18.2031
02/09/2022,18.2132
05/09/2022,18.2337
06/09/2022,18.2378
07/09/2022,18.2376
08/09/2022,18.2468
09/09/2022,18.2523
12/09/2022,18.2517
13/09/2022,18.2515
14/09/2022,18.2533
15/09/2022,18.2649
16/09/2022,18.2755
19/09/2022,18.2802
20/09/2022,18.2987
21/09/2022,18.3115
22/09/2022,18.3279
23/09/2022,18.3732
26/09/2022,18.4033
27/09/2022,18.4598
28/09/2022,18.4842
29/09/2022,18.5195
30/09/2022,18.5371
03/10/2022,18.5521
04/10/2022,18.5731
05/10/2022,18.5781
06/10/2022,18.5885
07/10/2022,18.5923
10/10/2022,18.5927
11/10/2022,18.5915
12/10/2022,18.5949
13/10/2022,18.5999
14/10/2022,18.5991
17/10/2022,18.593
18/10/2022,18.5997
19/10/2022,18.5998
20/10/2022,18.5996
21/10/2022,18.6021
24/10/2022,18.6076
25/10/2022,18.6165
26/10/2022,18.616
27/10/2022,18.6199
28/10/2022,18.6215
31/10/2022,18.6215
01/11/2022,18.625
02/11/2022,18.6291
03/11/2022,18.6316
04/11/2022,18.6307
07/11/2022,18.6271
08/11/2022,18.6168
09/11/2022,18.6138
10/11/2022,18.6126
11/11/2022,18.6127
14/11/2022,18.5448
15/11/2022,18.6153
16/11/2022,18.6199
17/11/2022,18.6251
18/11/2022,18.6294
21/11/2022,18.628
22/11/2022,18.6314
23/11/2022,18.6369
24/11/2022,18.6397
25/11/2022,18.638
28/11/2022,18.6406
29/11/2022,18.6404
30/11/2022,18.6475
01/12/2022,18.653
02/12/2022,18.6458
05/12/2022,18.6438
06/12/2022,18.6465
07/12/2022,18.6479
08/12/2022,18.6501
09/12/2022,18.6538
12/12/2022,18.6544
13/12/2022,18.6534
14/12/2022,18.6581
15/12/2022,18.6602
16/12/2022,18.6589
19/12/2022,18.6603
20/12/2022,18.6647
21/12/2022,18.6717
22/12/2022,18.6768
